,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Long
0,Cabo San Lucas,90,MX,1580536579,63,291.48,2.6,22.89,-109.91
1,Chapais,75,CA,1580536778,84,257.15,2.1,49.78,-74.85
2,Ushuaia,75,AR,1580536102,66,285.15,7.2,-54.8,-68.3
3,Darhan,59,MN,1580536780,91,253.31,1.41,49.49,105.92
4,Punta Arenas,75,CL,1580536394,71,284.15,5.1,-53.15,-70.92
5,Mataura,100,NZ,1580536782,53,293.68,6.41,-46.19,168.86
6,Bluff,100,NZ,1580536418,48,295.75,4.95,-46.6,168.33
7,Itoman,40,JP,1580536785,45,291.15,6.7,26.12,127.67
8,Ilulissat,30,GL,1580536644,84,257.15,2.6,69.22,-51.1
9,Thompson,75,CA,1580536787,100,270.15,2.6,55.74,-97.86
10,Hithadhoo,70,MV,1580536788,70,301.13,4.85,-0.6,73.08
11,Carnarvon,0,AU,1580536528,51,300.15,10.8,-24.87,113.63
12,Kavaratti,43,IN,1580536791,68,299.54,2.71,10.57,72.64
13,Mundo Nuevo (Ojo de Agua),73,MX,1580536792,91,294.85,3.14,18.7,-95.5
14,Marawi,95,PH,1580536649,78,301.48,4.47,8.0,124.29
15,Hilo,90,US,1580536794,78,297.04,2.6,19.73,-155.09
16,Dali,33,CN,1580536795,43,285.94,3.78,25.7,100.18
17,Nikolskoye,90,RU,1580536472,92,268.15,4.0,59.7,30.79
18,Busselton,0,AU,1580536448,20,299.26,6.38,-33.65,115.33
19,Nelson Bay,0,AU,1580536799,35,313.15,6.2,-32.72,152.15
20,Rikitea,92,PF,1580536341,79,299.51,6.72,-23.12,-134.97
21,Dikson,78,RU,1580536802,93,248.92,4.59,73.51,80.55
22,Oxford,40,GB,1580536804,87,283.71,8.2,51.75,-1.26
23,Upernavik,92,GL,1580536806,98,246.49,3.63,72.79,-56.15
24,Bredasdorp,48,ZA,1580536261,82,293.15,1.5,-34.53,20.04
25,Kristiansund,90,NO,1580536713,97,274.15,4.6,63.11,7.73
26,Puerto Ayora,79,EC,1580536699,7,298.15,0.45,-0.74,-90.35
27,Nazilli,20,TR,1580536811,73,276.15,4.1,37.92,28.32
28,Castro,2,BR,1580536812,99,290.65,1.59,-24.79,-50.01
29,Palmer,90,US,1580536645,98,274.15,1.5,42.16,-72.33
30,Khatanga,0,RU,1580536498,97,236.75,3.35,71.97,102.5
31,Sainte-Rose,40,GP,1580536816,88,296.15,0.5,16.33,-61.7
32,Narrabri,0,AU,1580536818,25,311.48,3.6,-30.32,149.78
33,Dauphin,1,CA,1580536819,74,271.15,8.7,51.15,-100.05
34,Cockburn Town,67,TC,1580536339,79,298.86,5.65,21.46,-71.14
35,Louangphabang,26,LA,1580536821,35,301.5,1.1,19.89,102.13
36,Los Llanos de Aridane,0,ES,1580536347,45,293.15,1.0,28.66,-17.92
37,Kununurra,75,AU,1580536824,39,309.15,3.1,-15.77,128.73
38,Albany,90,US,1580536825,69,274.82,0.36,42.6,-73.97
39,Pastavy,94,BY,1580536826,95,273.83,2.56,55.12,26.83
40,Surovatikha,75,RU,1580536827,92,273.15,1.16,55.77,43.9
41,Norman Wells,75,CA,1580536829,74,242.15,3.1,65.28,-126.83
42,Fort Nelson,90,CA,1580536830,84,259.15,2.1,58.81,-122.7
43,Pishin,0,PK,1580536831,35,278.65,0.35,30.58,67.0
44,Oddur,76,SO,1580536832,56,297.57,8.64,4.12,43.89
45,Torbay,90,CA,1580536444,78,265.93,8.7,47.67,-52.73
46,Feijo,100,BR,1580536835,99,295.95,1.64,-8.16,-70.35
47,Tiksi,100,RU,1580536836,91,245.97,1.71,71.69,128.87
48,Barrow,75,US,1580536598,68,245.15,2.1,71.29,-156.79
49,Nalut,0,LY,1580536838,50,283.75,3.42,30.33,10.85
50,Kruisfontein,66,ZA,1580536402,72,293.83,1.05,-34.0,24.73
51,Pisco,75,PE,1580536841,88,295.37,1.5,-13.7,-76.22
52,Haapiti,75,PF,1580536842,94,297.15,7.7,-17.57,-149.87
53,Kapaa,75,US,1580536843,83,297.15,5.1,22.08,-159.32
54,Balkanabat,100,TM,1580536845,35,284.27,1.67,39.51,54.37
55,New Norfolk,75,AU,1580536504,59,294.82,7.7,-42.78,147.06
56,Port Alfred,100,ZA,1580536847,88,295.93,0.89,-33.59,26.89
57,Lompoc,1,US,1580536848,71,286.15,2.1,34.64,-120.46
58,Chiredzi,87,ZW,1580536850,66,297.89,1.54,-21.05,31.67
59,Atuona,33,PF,1580536851,76,300.67,6.97,-9.8,-139.03
60,Sinnamary,88,GF,1580536852,75,299.23,8.17,5.38,-52.95
61,Shenzhen,20,CN,1580536698,49,294.82,8.2,22.55,114.07
62,Saint-Augustin,0,CA,1580536855,84,256.08,3.98,51.23,-58.65
63,Barguzin,100,RU,1580536856,93,256.5,0.39,53.62,109.62
64,Provideniya,100,RU,1580536857,96,247.88,3.56,64.38,-173.3
65,Chegdomyn,92,RU,1580536858,86,257.74,0.85,51.12,133.02
66,Jamestown,90,US,1580536860,80,272.59,2.1,42.1,-79.24
67,Benavente,75,ES,1580536861,93,284.15,4.6,42.0,-5.68
68,Alvaraes,100,BR,1580536862,97,296.65,0.83,-3.22,-64.8
69,Hermanus,97,ZA,1580536864,86,293.71,3.13,-34.42,19.23
70,Iquique,28,CL,1580536391,72,293.15,1.5,-20.22,-70.14
71,Ancud,90,CL,1580536346,100,289.15,6.2,-41.87,-73.82
72,George Town,20,MY,1580536319,74,307.15,3.6,5.41,100.34
73,Butaritari,0,KI,1580536868,77,302.37,7.35,3.07,172.79
74,Talnakh,20,RU,1580536530,73,239.15,4.0,69.49,88.4
75,Faanui,100,PF,1580536871,81,299.92,12.11,-16.48,-151.75
76,Gospic,75,HR,1580536872,93,282.15,2.1,44.55,15.37
77,Lorengau,100,PG,1580536874,77,302.07,10.06,-2.02,147.27
78,Roebourne,0,AU,1580536875,8,314.14,5.34,-20.78,117.13
79,Tasiilaq,100,GL,1580536877,57,268.15,13.4,65.61,-37.64
80,Simpang Empat,20,MY,1580536878,74,307.15,3.6,4.95,100.63
81,Mahebourg,40,MU,1580536879,78,301.48,6.7,-20.41,57.7
82,Nanortalik,76,GL,1580536525,67,266.04,8.47,60.14,-45.24
83,Isla Mujeres,40,MX,1580536648,83,299.15,4.1,21.23,-86.73
84,Bud,90,US,1580536883,100,276.48,1.17,39.45,-86.18
85,Henties Bay,84,NA,1580536629,93,289.82,0.45,-22.12,14.28
86,Saint George,1,US,1580536653,73,280.37,1.5,37.1,-113.58
87,Te Anau,100,NZ,1580536416,86,288.29,4.47,-45.42,167.72
88,Cimitarra,9,CO,1580536888,89,296.44,0.9,6.31,-73.95
89,Sampit,100,ID,1580536889,49,307.18,1.23,-2.53,112.95
90,Mar del Plata,44,AR,1580536337,59,292.59,6.2,-38.0,-57.56
91,Shingu,20,JP,1580536891,39,282.15,7.7,33.73,135.98
92,Yellowknife,5,CA,1580536685,82,249.26,2.1,62.46,-114.35
93,East London,75,ZA,1580536460,83,296.15,3.6,-33.02,27.91
94,Vaini,75,TO,1580536367,83,300.15,5.1,-21.2,-175.2
95,Antalaha,93,MG,1580536549,75,300.36,7.05,-14.9,50.28
96,Margate,20,GB,1580536879,93,283.71,6.7,51.38,1.39
97,Jiaojiang,0,CN,1580536898,38,289.82,0.89,28.68,121.44
98,Mundo Novo,3,BR,1580536900,97,292.13,0.35,-11.86,-40.47
99,Contamana,93,PE,1580536901,81,297.62,0.6,-7.33,-75.02
100,Riverton,90,US,1580536902,75,278.15,2.6,40.52,-111.94
101,Tornio,90,FI,1580536903,85,263.15,5.7,65.85,24.13
102,Arraial do Cabo,64,BR,1580536338,82,299.5,3.15,-22.97,-42.03
103,Dehloran,72,IR,1580536906,79,284.77,3.02,32.69,47.27
104,Arys,100,KZ,1580536907,47,281.15,2.0,42.43,68.8
105,Gamba,100,GA,1580536333,92,297.93,1.86,-2.65,10.0
106,Northam,100,GB,1580536909,92,283.71,8.05,51.03,-4.22
107,Mizdah,58,LY,1580536911,55,282.32,0.74,31.45,12.98
108,Tsogni,100,GA,1580536912,77,300.71,1.95,-2.79,10.1
109,Bengkulu,10,ID,1580536582,54,305.42,1.99,-3.8,102.27
110,Bulgan,0,MN,1580536557,75,254.86,2.58,48.81,103.53
111,Coquimbo,90,CL,1580536916,88,290.15,3.6,-29.95,-71.34
112,Narsaq,17,GL,1580536539,45,256.15,3.1,60.92,-46.05
113,Ribeira Grande,100,PT,1580536918,95,287.82,11.39,38.52,-28.7
114,Sitka,90,US,1580536919,92,272.15,2.6,57.05,-135.33
115,Bambous Virieux,40,MU,1580536659,78,301.48,6.7,-20.34,57.76
116,Novyy Urengoy,74,RU,1580536922,98,243.39,3.31,66.08,76.63
117,Debre Birhan,94,ET,1580536923,69,286.05,1.99,9.68,39.53
118,Severo-Kuril'sk,50,RU,1580536924,78,262.06,2.42,50.68,156.12
119,Gouloure,0,BF,1580536925,24,296.15,3.1,12.23,-1.93
120,Usolye,100,RU,1580536926,91,268.15,1.79,59.43,56.68
121,Lebu,14,CL,1580536434,98,287.27,2.05,-37.62,-73.65
122,Hobart,75,AU,1580536451,59,294.82,7.7,-42.88,147.33
123,Sabya,40,SA,1580536930,74,299.15,4.1,17.15,42.63
